##Databases: KEGG PATHWAY, Gene Ontology
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
response to cytokine	Gene Ontology	GO:0034097	2	56	0.14033252926	0.35867147397	ENSMUSG00000020044|ENSMUSG00000066363	http://amigo.geneontology.org/amigo/term/GO:0034097
actin cytoskeleton	Gene Ontology	GO:0015629	5	237	0.141530704127	0.35867147397	ENSMUSG00000050357|ENSMUSG00000022438|ENSMUSG00000066406|ENSMUSG00000026596|ENSMUSG00000022148	http://amigo.geneontology.org/amigo/term/GO:0015629
transmembrane signaling receptor activity	Gene Ontology	GO:0004888	4	173	0.142330405172	0.35867147397	ENSMUSG00000031785|ENSMUSG00000030159|ENSMUSG00000024778|ENSMUSG00000044017	http://amigo.geneontology.org/amigo/term/GO:0004888
cytoskeleton organization	Gene Ontology	GO:0007010	3	112	0.142395079745	0.35867147397	ENSMUSG00000003810|ENSMUSG00000054150|ENSMUSG00000035863	http://amigo.geneontology.org/amigo/term/GO:0007010
response to bacterium	Gene Ontology	GO:0009617	5	238	0.143260120547	0.35867147397	ENSMUSG00000066363|ENSMUSG00000069919|ENSMUSG00000069917|ENSMUSG00000032690|ENSMUSG00000031722	http://amigo.geneontology.org/amigo/term/GO:0009617
cytoplasmic side of plasma membrane	Gene Ontology	GO:0009898	2	57	0.144224807234	0.35867147397	ENSMUSG00000006574|ENSMUSG00000054252	http://amigo.geneontology.org/amigo/term/GO:0009898
intercalated disc	Gene Ontology	GO:0014704	2	57	0.144224807234	0.35867147397	ENSMUSG00000006574|ENSMUSG00000062373	http://amigo.geneontology.org/amigo/term/GO:0014704
metabolic process	Gene Ontology	GO:0008152	4	175	0.146468953406	0.35867147397	ENSMUSG00000025648|ENSMUSG00000039145|ENSMUSG00000037049|ENSMUSG00000040434	http://amigo.geneontology.org/amigo/term/GO:0008152
integral component of membrane	Gene Ontology	GO:0016021	69	5334	0.146472767136	0.35867147397	ENSMUSG00000036368|ENSMUSG00000032816|ENSMUSG00000044367|ENSMUSG00000023909|ENSMUSG00000044017|ENSMUSG00000073599|ENSMUSG00000006574|ENSMUSG00000059479|ENSMUSG00000001964|ENSMUSG00000046908|ENSMUSG00000096883|ENSMUSG00000019102|ENSMUSG00000029408|ENSMUSG00000017417|ENSMUSG00000034118|ENSMUSG00000062585|ENSMUSG00000030401|ENSMUSG00000018569|ENSMUSG00000037363|ENSMUSG00000027318|ENSMUSG00000041378|ENSMUSG00000032204|ENSMUSG00000057530|ENSMUSG00000031438|ENSMUSG00000034614|ENSMUSG00000018733|ENSMUSG00000034612|ENSMUSG00000027860|ENSMUSG00000031785|ENSMUSG00000057103|ENSMUSG00000026435|ENSMUSG00000029924|ENSMUSG00000024232|ENSMUSG00000040434|ENSMUSG00000030159|ENSMUSG00000052485|ENSMUSG00000022299|ENSMUSG00000054150|ENSMUSG00000046916|ENSMUSG00000062373|ENSMUSG00000022901|ENSMUSG00000031398|ENSMUSG00000050350|ENSMUSG00000030207|ENSMUSG00000020544|ENSMUSG00000026580|ENSMUSG00000036503|ENSMUSG00000032193|ENSMUSG00000059327|ENSMUSG00000045569|ENSMUSG00000031982|ENSMUSG00000032589|ENSMUSG00000030760|ENSMUSG00000030830|ENSMUSG00000009876|ENSMUSG00000029650|ENSMUSG00000097328|ENSMUSG00000030737|ENSMUSG00000032125|ENSMUSG00000034275|ENSMUSG00000054252|ENSMUSG00000031937|ENSMUSG00000026389|ENSMUSG00000040006|ENSMUSG00000024679|ENSMUSG00000037872|ENSMUSG00000026072|ENSMUSG00000024778|ENSMUSG00000026070	http://amigo.geneontology.org/amigo/term/GO:0016021
natural killer cell activation	Gene Ontology	GO:0030101	1	13	0.147543979556	0.35867147397	ENSMUSG00000026070	http://amigo.geneontology.org/amigo/term/GO:0030101
cAMP response element binding	Gene Ontology	GO:0035497	1	13	0.147543979556	0.35867147397	ENSMUSG00000024137	http://amigo.geneontology.org/amigo/term/GO:0035497
positive regulation of astrocyte differentiation	Gene Ontology	GO:0048711	1	13	0.147543979556	0.35867147397	ENSMUSG00000026249	http://amigo.geneontology.org/amigo/term/GO:0048711
regulation of transcription involved in G1/S transition of mitotic cell cycle	Gene Ontology	GO:0000083	1	13	0.147543979556	0.35867147397	ENSMUSG00000028926	http://amigo.geneontology.org/amigo/term/GO:0000083
5'-nucleotidase activity	Gene Ontology	GO:0008253	1	13	0.147543979556	0.35867147397	ENSMUSG00000071547	http://amigo.geneontology.org/amigo/term/GO:0008253
positive regulation of regulatory T cell differentiation	Gene Ontology	GO:0045591	1	13	0.147543979556	0.35867147397	ENSMUSG00000050357	http://amigo.geneontology.org/amigo/term/GO:0045591
positive regulation of potassium ion transport	Gene Ontology	GO:0043268	1	13	0.147543979556	0.35867147397	ENSMUSG00000023092	http://amigo.geneontology.org/amigo/term/GO:0043268
MKS complex	Gene Ontology	GO:0036038	1	13	0.147543979556	0.35867147397	ENSMUSG00000038593	http://amigo.geneontology.org/amigo/term/GO:0036038
sphingosine biosynthetic process	Gene Ontology	GO:0046512	1	13	0.147543979556	0.35867147397	ENSMUSG00000030760	http://amigo.geneontology.org/amigo/term/GO:0046512
3',5'-cyclic-GMP phosphodiesterase activity	Gene Ontology	GO:0047555	1	13	0.147543979556	0.35867147397	ENSMUSG00000004347	http://amigo.geneontology.org/amigo/term/GO:0047555
bile acid metabolic process	Gene Ontology	GO:0008206	1	13	0.147543979556	0.35867147397	ENSMUSG00000031982	http://amigo.geneontology.org/amigo/term/GO:0008206
negative regulation of G protein-coupled receptor signaling pathway	Gene Ontology	GO:0045744	1	13	0.147543979556	0.35867147397	ENSMUSG00000022517	http://amigo.geneontology.org/amigo/term/GO:0045744
protein quality control for misfolded or incompletely synthesized proteins	Gene Ontology	GO:0006515	1	13	0.147543979556	0.35867147397	ENSMUSG00000023965	http://amigo.geneontology.org/amigo/term/GO:0006515
plasma membrane tubulation	Gene Ontology	GO:0097320	1	13	0.147543979556	0.35867147397	ENSMUSG00000045954	http://amigo.geneontology.org/amigo/term/GO:0097320
ribosomal large subunit binding	Gene Ontology	GO:0043023	1	13	0.147543979556	0.35867147397	ENSMUSG00000026887	http://amigo.geneontology.org/amigo/term/GO:0043023
negative regulation of pathway-restricted SMAD protein phosphorylation	Gene Ontology	GO:0060394	1	13	0.147543979556	0.35867147397	ENSMUSG00000036867	http://amigo.geneontology.org/amigo/term/GO:0060394
striated muscle contraction	Gene Ontology	GO:0006941	1	13	0.147543979556	0.35867147397	ENSMUSG00000035458	http://amigo.geneontology.org/amigo/term/GO:0006941
phosphatidylinositol 3-kinase regulatory subunit binding	Gene Ontology	GO:0036312	1	13	0.147543979556	0.35867147397	ENSMUSG00000025017	http://amigo.geneontology.org/amigo/term/GO:0036312
sialic acid binding	Gene Ontology	GO:0033691	1	13	0.147543979556	0.35867147397	ENSMUSG00000026580	http://amigo.geneontology.org/amigo/term/GO:0033691
actin filament network formation	Gene Ontology	GO:0051639	1	13	0.147543979556	0.35867147397	ENSMUSG00000050357	http://amigo.geneontology.org/amigo/term/GO:0051639
cellular response to lithium ion	Gene Ontology	GO:0071285	1	13	0.147543979556	0.35867147397	ENSMUSG00000024778	http://amigo.geneontology.org/amigo/term/GO:0071285
negative regulation of blood vessel diameter	Gene Ontology	GO:0097756	1	13	0.147543979556	0.35867147397	ENSMUSG00000036867	http://amigo.geneontology.org/amigo/term/GO:0097756
negative regulation of neuron migration	Gene Ontology	GO:2001223	1	13	0.147543979556	0.35867147397	ENSMUSG00000031785	http://amigo.geneontology.org/amigo/term/GO:2001223
negative regulation of macroautophagy	Gene Ontology	GO:0016242	1	13	0.147543979556	0.35867147397	ENSMUSG00000036273	http://amigo.geneontology.org/amigo/term/GO:0016242
neuron spine	Gene Ontology	GO:0044309	1	13	0.147543979556	0.35867147397	ENSMUSG00000035863	http://amigo.geneontology.org/amigo/term/GO:0044309
negative regulation of intracellular estrogen receptor signaling pathway	Gene Ontology	GO:0033147	1	13	0.147543979556	0.35867147397	ENSMUSG00000017146	http://amigo.geneontology.org/amigo/term/GO:0033147
low-density lipoprotein particle	Gene Ontology	GO:0034362	1	13	0.147543979556	0.35867147397	ENSMUSG00000032193	http://amigo.geneontology.org/amigo/term/GO:0034362
regulation of fibroblast migration	Gene Ontology	GO:0010762	1	13	0.147543979556	0.35867147397	ENSMUSG00000020319	http://amigo.geneontology.org/amigo/term/GO:0010762
cortical actin cytoskeleton	Gene Ontology	GO:0030864	2	58	0.148139525069	0.359333309526	ENSMUSG00000041378|ENSMUSG00000066406	http://amigo.geneontology.org/amigo/term/GO:0030864
methyltransferase activity	Gene Ontology	GO:0008168	4	176	0.148555718989	0.359881460085	ENSMUSG00000030888|ENSMUSG00000071350|ENSMUSG00000056770|ENSMUSG00000006307	http://amigo.geneontology.org/amigo/term/GO:0008168
dendrite	Gene Ontology	GO:0030425	9	521	0.150129023968	0.363227766429	ENSMUSG00000029484|ENSMUSG00000034275|ENSMUSG00000031937|ENSMUSG00000028680|ENSMUSG00000032589|ENSMUSG00000036273|ENSMUSG00000017417|ENSMUSG00000062585|ENSMUSG00000037296	http://amigo.geneontology.org/amigo/term/GO:0030425
negative regulation of peptidase activity	Gene Ontology	GO:0010466	3	115	0.150341818946	0.363278060595	ENSMUSG00000020044|ENSMUSG00000066363|ENSMUSG00000026249	http://amigo.geneontology.org/amigo/term/GO:0010466
protein tyrosine kinase activity	Gene Ontology	GO:0004713	3	116	0.153021934146	0.364069213921	ENSMUSG00000002409|ENSMUSG00000054252|ENSMUSG00000026596	http://amigo.geneontology.org/amigo/term/GO:0004713
protein homodimerization activity	Gene Ontology	GO:0042803	11	670	0.153121177116	0.364069213921	ENSMUSG00000029408|ENSMUSG00000037583|ENSMUSG00000057530|ENSMUSG00000036273|ENSMUSG00000006574|ENSMUSG00000034118|ENSMUSG00000074457|ENSMUSG00000046949|ENSMUSG00000006442|ENSMUSG00000044562|ENSMUSG00000041135	http://amigo.geneontology.org/amigo/term/GO:0042803
response to organic substance	Gene Ontology	GO:0010033	2	60	0.156032286046	0.364069213921	ENSMUSG00000020044|ENSMUSG00000032204	http://amigo.geneontology.org/amigo/term/GO:0010033
protein K48-linked ubiquitination	Gene Ontology	GO:0070936	2	60	0.156032286046	0.364069213921	ENSMUSG00000029634|ENSMUSG00000079737	http://amigo.geneontology.org/amigo/term/GO:0070936
amyloid-beta clearance	Gene Ontology	GO:0097242	1	14	0.157211706011	0.364069213921	ENSMUSG00000032193	http://amigo.geneontology.org/amigo/term/GO:0097242
RNA 7-methylguanosine cap binding	Gene Ontology	GO:0000340	1	14	0.157211706011	0.364069213921	ENSMUSG00000037275	http://amigo.geneontology.org/amigo/term/GO:0000340
hepatocyte apoptotic process	Gene Ontology	GO:0097284	1	14	0.157211706011	0.364069213921	ENSMUSG00000024778	http://amigo.geneontology.org/amigo/term/GO:0097284
histone H3 deacetylation	Gene Ontology	GO:0070932	1	14	0.157211706011	0.364069213921	ENSMUSG00000067567	http://amigo.geneontology.org/amigo/term/GO:0070932
negative regulation of platelet aggregation	Gene Ontology	GO:0090331	1	14	0.157211706011	0.364069213921	ENSMUSG00000026249	http://amigo.geneontology.org/amigo/term/GO:0090331
peptide hormone processing	Gene Ontology	GO:0016486	1	14	0.157211706011	0.364069213921	ENSMUSG00000057530	http://amigo.geneontology.org/amigo/term/GO:0016486
activation of cysteine-type endopeptidase activity	Gene Ontology	GO:0097202	1	14	0.157211706011	0.364069213921	ENSMUSG00000041135	http://amigo.geneontology.org/amigo/term/GO:0097202
estrogen metabolic process	Gene Ontology	GO:0008210	1	14	0.157211706011	0.364069213921	ENSMUSG00000030711	http://amigo.geneontology.org/amigo/term/GO:0008210
positive regulation of T cell chemotaxis	Gene Ontology	GO:0010820	1	14	0.157211706011	0.364069213921	ENSMUSG00000036737	http://amigo.geneontology.org/amigo/term/GO:0010820
MHC class I peptide loading complex	Gene Ontology	GO:0042824	1	14	0.157211706011	0.364069213921	ENSMUSG00000029408	http://amigo.geneontology.org/amigo/term/GO:0042824
metalloendopeptidase inhibitor activity	Gene Ontology	GO:0008191	1	14	0.157211706011	0.364069213921	ENSMUSG00000020044	http://amigo.geneontology.org/amigo/term/GO:0008191
cellular response to low-density lipoprotein particle stimulus	Gene Ontology	GO:0071404	1	14	0.157211706011	0.364069213921	ENSMUSG00000032193	http://amigo.geneontology.org/amigo/term/GO:0071404
cytoskeleton-dependent intracellular transport	Gene Ontology	GO:0030705	1	14	0.157211706011	0.364069213921	ENSMUSG00000021182	http://amigo.geneontology.org/amigo/term/GO:0030705
lymph vessel development	Gene Ontology	GO:0001945	1	14	0.157211706011	0.364069213921	ENSMUSG00000046470	http://amigo.geneontology.org/amigo/term/GO:0001945
toxic substance binding	Gene Ontology	GO:0015643	1	14	0.157211706011	0.364069213921	ENSMUSG00000028713	http://amigo.geneontology.org/amigo/term/GO:0015643
regulation of smooth muscle contraction	Gene Ontology	GO:0006940	1	14	0.157211706011	0.364069213921	ENSMUSG00000035458	http://amigo.geneontology.org/amigo/term/GO:0006940
wound healing, spreading of cells	Gene Ontology	GO:0044319	1	14	0.157211706011	0.364069213921	ENSMUSG00000050357	http://amigo.geneontology.org/amigo/term/GO:0044319
cellular response to interleukin-6	Gene Ontology	GO:0071354	1	14	0.157211706011	0.364069213921	ENSMUSG00000026580	http://amigo.geneontology.org/amigo/term/GO:0071354
protein targeting to vacuole	Gene Ontology	GO:0006623	1	14	0.157211706011	0.364069213921	ENSMUSG00000035284	http://amigo.geneontology.org/amigo/term/GO:0006623
lymphangiogenesis	Gene Ontology	GO:0001946	1	14	0.157211706011	0.364069213921	ENSMUSG00000046470	http://amigo.geneontology.org/amigo/term/GO:0001946
GTP metabolic process	Gene Ontology	GO:0046039	1	14	0.157211706011	0.364069213921	ENSMUSG00000036273	http://amigo.geneontology.org/amigo/term/GO:0046039
messenger ribonucleoprotein complex	Gene Ontology	GO:1990124	1	14	0.157211706011	0.364069213921	ENSMUSG00000037296	http://amigo.geneontology.org/amigo/term/GO:1990124
negative thymic T cell selection	Gene Ontology	GO:0045060	1	14	0.157211706011	0.364069213921	ENSMUSG00000024778	http://amigo.geneontology.org/amigo/term/GO:0045060
positive regulation of proteasomal protein catabolic process	Gene Ontology	GO:1901800	1	14	0.157211706011	0.364069213921	ENSMUSG00000073599	http://amigo.geneontology.org/amigo/term/GO:1901800
platelet-derived growth factor receptor binding	Gene Ontology	GO:0005161	1	14	0.157211706011	0.364069213921	ENSMUSG00000026072	http://amigo.geneontology.org/amigo/term/GO:0005161
negative regulation of autophagosome assembly	Gene Ontology	GO:1902902	1	14	0.157211706011	0.364069213921	ENSMUSG00000036273	http://amigo.geneontology.org/amigo/term/GO:1902902
layer formation in cerebral cortex	Gene Ontology	GO:0021819	1	14	0.157211706011	0.364069213921	ENSMUSG00000031785	http://amigo.geneontology.org/amigo/term/GO:0021819
I-SMAD binding	Gene Ontology	GO:0070411	1	14	0.157211706011	0.364069213921	ENSMUSG00000036867	http://amigo.geneontology.org/amigo/term/GO:0070411
cell growth involved in cardiac muscle cell development	Gene Ontology	GO:0061049	1	14	0.157211706011	0.364069213921	ENSMUSG00000066406	http://amigo.geneontology.org/amigo/term/GO:0061049
peptidase inhibitor activity	Gene Ontology	GO:0030414	3	118	0.15842715082	0.365987996767	ENSMUSG00000020044|ENSMUSG00000066363|ENSMUSG00000026249	http://amigo.geneontology.org/amigo/term/GO:0030414
mitotic cell cycle	Gene Ontology	GO:0000278	3	118	0.15842715082	0.365987996767	ENSMUSG00000062591|ENSMUSG00000071350|ENSMUSG00000028680	http://amigo.geneontology.org/amigo/term/GO:0000278
positive regulation of tumor necrosis factor production	Gene Ontology	GO:0032760	2	61	0.160008381027	0.366468250072	ENSMUSG00000022708|ENSMUSG00000041135	http://amigo.geneontology.org/amigo/term/GO:0032760
identical protein binding	Gene Ontology	GO:0042802	25	1764	0.163244414311	0.366468250072	ENSMUSG00000021752|ENSMUSG00000025795|ENSMUSG00000021572|ENSMUSG00000025017|ENSMUSG00000021182|ENSMUSG00000036737|ENSMUSG00000006442|ENSMUSG00000031722|ENSMUSG00000057530|ENSMUSG00000036273|ENSMUSG00000017146|ENSMUSG00000036867|ENSMUSG00000041135|ENSMUSG00000074457|ENSMUSG00000070462|ENSMUSG00000032193|ENSMUSG00000030470|ENSMUSG00000004637|ENSMUSG00000025140|ENSMUSG00000030711|ENSMUSG00000040177|ENSMUSG00000054252|ENSMUSG00000043372|ENSMUSG00000026389|ENSMUSG00000024778	http://amigo.geneontology.org/amigo/term/GO:0042802
DNA replication	Gene Ontology	GO:0006260	3	120	0.163890337159	0.366468250072	ENSMUSG00000039176|ENSMUSG00000055053|ENSMUSG00000024137	http://amigo.geneontology.org/amigo/term/GO:0006260
anatomical structure morphogenesis	Gene Ontology	GO:0009653	2	62	0.164003018924	0.366468250072	ENSMUSG00000046470|ENSMUSG00000036867	http://amigo.geneontology.org/amigo/term/GO:0009653
extrinsic component of membrane	Gene Ontology	GO:0019898	2	62	0.164003018924	0.366468250072	ENSMUSG00000035284|ENSMUSG00000032589	http://amigo.geneontology.org/amigo/term/GO:0019898
histone deacetylase binding	Gene Ontology	GO:0042826	3	121	0.166642916853	0.366468250072	ENSMUSG00000036120|ENSMUSG00000000568|ENSMUSG00000006715	http://amigo.geneontology.org/amigo/term/GO:0042826
response to hypoxia	Gene Ontology	GO:0001666	3	121	0.166642916853	0.366468250072	ENSMUSG00000029135|ENSMUSG00000057530|ENSMUSG00000019102	http://amigo.geneontology.org/amigo/term/GO:0001666
positive regulation of ruffle assembly	Gene Ontology	GO:1900029	1	15	0.166770170884	0.366468250072	ENSMUSG00000050357	http://amigo.geneontology.org/amigo/term/GO:1900029
negative regulation of DNA replication	Gene Ontology	GO:0008156	1	15	0.166770170884	0.366468250072	ENSMUSG00000006715	http://amigo.geneontology.org/amigo/term/GO:0008156
anion transmembrane transporter activity	Gene Ontology	GO:0008509	1	15	0.166770170884	0.366468250072	ENSMUSG00000006574	http://amigo.geneontology.org/amigo/term/GO:0008509
cardiac septum morphogenesis	Gene Ontology	GO:0060411	1	15	0.166770170884	0.366468250072	ENSMUSG00000040040	http://amigo.geneontology.org/amigo/term/GO:0060411
proteoglycan biosynthetic process	Gene Ontology	GO:0030166	1	15	0.166770170884	0.366468250072	ENSMUSG00000034612	http://amigo.geneontology.org/amigo/term/GO:0030166
regulation of cell-cell adhesion	Gene Ontology	GO:0022407	1	15	0.166770170884	0.366468250072	ENSMUSG00000030830	http://amigo.geneontology.org/amigo/term/GO:0022407
aldehyde dehydrogenase (NAD+) activity	Gene Ontology	GO:0004029	1	15	0.166770170884	0.366468250072	ENSMUSG00000019102	http://amigo.geneontology.org/amigo/term/GO:0004029
positive regulation of fatty acid biosynthetic process	Gene Ontology	GO:0045723	1	15	0.166770170884	0.366468250072	ENSMUSG00000026435	http://amigo.geneontology.org/amigo/term/GO:0045723
positive regulation of extrinsic apoptotic signaling pathway in absence of ligand	Gene Ontology	GO:2001241	1	15	0.166770170884	0.366468250072	ENSMUSG00000004637	http://amigo.geneontology.org/amigo/term/GO:2001241
negative regulation of microtubule polymerization	Gene Ontology	GO:0031115	1	15	0.166770170884	0.366468250072	ENSMUSG00000062591	http://amigo.geneontology.org/amigo/term/GO:0031115
collagen metabolic process	Gene Ontology	GO:0032963	1	15	0.166770170884	0.366468250072	ENSMUSG00000028641	http://amigo.geneontology.org/amigo/term/GO:0032963
negative regulation of blood coagulation	Gene Ontology	GO:0030195	1	15	0.166770170884	0.366468250072	ENSMUSG00000026249	http://amigo.geneontology.org/amigo/term/GO:0030195
PRC1 complex	Gene Ontology	GO:0035102	1	15	0.166770170884	0.366468250072	ENSMUSG00000039989	http://amigo.geneontology.org/amigo/term/GO:0035102
ear development	Gene Ontology	GO:0043583	1	15	0.166770170884	0.366468250072	ENSMUSG00000057530	http://amigo.geneontology.org/amigo/term/GO:0043583
pulmonary valve morphogenesis	Gene Ontology	GO:0003184	1	15	0.166770170884	0.366468250072	ENSMUSG00000036867	http://amigo.geneontology.org/amigo/term/GO:0003184
negative regulation of smooth muscle cell migration	Gene Ontology	GO:0014912	1	15	0.166770170884	0.366468250072	ENSMUSG00000036564	http://amigo.geneontology.org/amigo/term/GO:0014912
eukaryotic translation initiation factor 3 complex	Gene Ontology	GO:0005852	1	15	0.166770170884	0.366468250072	ENSMUSG00000056076	http://amigo.geneontology.org/amigo/term/GO:0005852
transcription corepressor binding	Gene Ontology	GO:0001222	1	15	0.166770170884	0.366468250072	ENSMUSG00000032589	http://amigo.geneontology.org/amigo/term/GO:0001222
amyloid-beta metabolic process	Gene Ontology	GO:0050435	1	15	0.166770170884	0.366468250072	ENSMUSG00000057103	http://amigo.geneontology.org/amigo/term/GO:0050435
positive regulation of cell growth involved in cardiac muscle cell development	Gene Ontology	GO:0061051	1	15	0.166770170884	0.366468250072	ENSMUSG00000059743	http://amigo.geneontology.org/amigo/term/GO:0061051
dosage compensation by inactivation of X chromosome	Gene Ontology	GO:0009048	1	15	0.166770170884	0.366468250072	ENSMUSG00000017146	http://amigo.geneontology.org/amigo/term/GO:0009048
SMN-Sm protein complex	Gene Ontology	GO:0034719	1	15	0.166770170884	0.366468250072	ENSMUSG00000037275	http://amigo.geneontology.org/amigo/term/GO:0034719
Schmidt-Lanterman incisure	Gene Ontology	GO:0043220	1	15	0.166770170884	0.366468250072	ENSMUSG00000041378	http://amigo.geneontology.org/amigo/term/GO:0043220
actinin binding	Gene Ontology	GO:0042805	1	15	0.166770170884	0.366468250072	ENSMUSG00000030470	http://amigo.geneontology.org/amigo/term/GO:0042805
microtubule anchoring	Gene Ontology	GO:0034453	1	15	0.166770170884	0.366468250072	ENSMUSG00000048038	http://amigo.geneontology.org/amigo/term/GO:0034453
basement membrane organization	Gene Ontology	GO:0071711	1	15	0.166770170884	0.366468250072	ENSMUSG00000000901	http://amigo.geneontology.org/amigo/term/GO:0071711
regulation of synaptic vesicle endocytosis	Gene Ontology	GO:1900242	1	15	0.166770170884	0.366468250072	ENSMUSG00000036273	http://amigo.geneontology.org/amigo/term/GO:1900242
TRAPP complex	Gene Ontology	GO:0030008	1	15	0.166770170884	0.366468250072	ENSMUSG00000079317	http://amigo.geneontology.org/amigo/term/GO:0030008
neuron remodeling	Gene Ontology	GO:0016322	1	15	0.166770170884	0.366468250072	ENSMUSG00000026596	http://amigo.geneontology.org/amigo/term/GO:0016322
negative regulation of adenylate cyclase activity	Gene Ontology	GO:0007194	1	15	0.166770170884	0.366468250072	ENSMUSG00000035863	http://amigo.geneontology.org/amigo/term/GO:0007194
JUN kinase binding	Gene Ontology	GO:0008432	1	15	0.166770170884	0.366468250072	ENSMUSG00000036503	http://amigo.geneontology.org/amigo/term/GO:0008432
oligosaccharide binding	Gene Ontology	GO:0070492	1	15	0.166770170884	0.366468250072	ENSMUSG00000026580	http://amigo.geneontology.org/amigo/term/GO:0070492
establishment of epithelial cell polarity	Gene Ontology	GO:0090162	1	15	0.166770170884	0.366468250072	ENSMUSG00000030064	http://amigo.geneontology.org/amigo/term/GO:0090162
positive regulation of histone H3-K4 methylation	Gene Ontology	GO:0051571	1	15	0.166770170884	0.366468250072	ENSMUSG00000017146	http://amigo.geneontology.org/amigo/term/GO:0051571
protein kinase C binding	Gene Ontology	GO:0005080	2	63	0.168015273233	0.368348663913	ENSMUSG00000056214|ENSMUSG00000045954	http://amigo.geneontology.org/amigo/term/GO:0005080
regulation of autophagy	Gene Ontology	GO:0010506	2	63	0.168015273233	0.368348663913	ENSMUSG00000041658|ENSMUSG00000036273	http://amigo.geneontology.org/amigo/term/GO:0010506
intracellular membrane-bounded organelle	Gene Ontology	GO:0043231	15	989	0.169481842909	0.371133850443	ENSMUSG00000039158|ENSMUSG00000079317|ENSMUSG00000029408|ENSMUSG00000046916|ENSMUSG00000032204|ENSMUSG00000022901|ENSMUSG00000036273|ENSMUSG00000028713|ENSMUSG00000073599|ENSMUSG00000032812|ENSMUSG00000036503|ENSMUSG00000022517|ENSMUSG00000040434|ENSMUSG00000029634|ENSMUSG00000025352	http://amigo.geneontology.org/amigo/term/GO:0043231
cell projection organization	Gene Ontology	GO:0030030	4	187	0.172237853467	0.371279937773	ENSMUSG00000038593|ENSMUSG00000062591|ENSMUSG00000040040|ENSMUSG00000020319	http://amigo.geneontology.org/amigo/term/GO:0030030
ATP binding	Gene Ontology	GO:0005524	20	1384	0.174385731319	0.371279937773	ENSMUSG00000073563|ENSMUSG00000032109|ENSMUSG00000019027|ENSMUSG00000036273|ENSMUSG00000025648|ENSMUSG00000039145|ENSMUSG00000003810|ENSMUSG00000054252|ENSMUSG00000026274|ENSMUSG00000032690|ENSMUSG00000028926|ENSMUSG00000002409|ENSMUSG00000029408|ENSMUSG00000026596|ENSMUSG00000028680|ENSMUSG00000034329|ENSMUSG00000050890|ENSMUSG00000002948|ENSMUSG00000036737|ENSMUSG00000041135	http://amigo.geneontology.org/amigo/term/GO:0005524
endocytosis	Gene Ontology	GO:0006897	4	188	0.174453335815	0.371279937773	ENSMUSG00000034940|ENSMUSG00000073563|ENSMUSG00000032193|ENSMUSG00000036273	http://amigo.geneontology.org/amigo/term/GO:0006897
positive regulation of cell population proliferation	Gene Ontology	GO:0008284	9	541	0.174534658944	0.371279937773	ENSMUSG00000041378|ENSMUSG00000054252|ENSMUSG00000019102|ENSMUSG00000004508|ENSMUSG00000022010|ENSMUSG00000044562|ENSMUSG00000030760|ENSMUSG00000018569|ENSMUSG00000024232	http://amigo.geneontology.org/amigo/term/GO:0008284
negative regulation of canonical Wnt signaling pathway	Gene Ontology	GO:0090090	3	124	0.174981010445	0.371279937773	ENSMUSG00000021182|ENSMUSG00000028496|ENSMUSG00000001964	http://amigo.geneontology.org/amigo/term/GO:0090090
cellular response to chemokine	Gene Ontology	GO:1990869	1	16	0.176220604715	0.371279937773	ENSMUSG00000036737	http://amigo.geneontology.org/amigo/term/GO:1990869
FMN binding	Gene Ontology	GO:0010181	1	16	0.176220604715	0.371279937773	ENSMUSG00000056310	http://amigo.geneontology.org/amigo/term/GO:0010181
negative regulation of insulin secretion involved in cellular response to glucose stimulus	Gene Ontology	GO:0061179	1	16	0.176220604715	0.371279937773	ENSMUSG00000004347	http://amigo.geneontology.org/amigo/term/GO:0061179
cell projection membrane	Gene Ontology	GO:0031253	1	16	0.176220604715	0.371279937773	ENSMUSG00000036564	http://amigo.geneontology.org/amigo/term/GO:0031253
negative regulation of interferon-beta production	Gene Ontology	GO:0032688	1	16	0.176220604715	0.371279937773	ENSMUSG00000032109	http://amigo.geneontology.org/amigo/term/GO:0032688
retrograde transport, endosome to plasma membrane	Gene Ontology	GO:1990126	1	16	0.176220604715	0.371279937773	ENSMUSG00000013611	http://amigo.geneontology.org/amigo/term/GO:1990126
bile acid transmembrane transporter activity	Gene Ontology	GO:0015125	1	16	0.176220604715	0.371279937773	ENSMUSG00000030737	http://amigo.geneontology.org/amigo/term/GO:0015125
deacetylase activity	Gene Ontology	GO:0019213	1	16	0.176220604715	0.371279937773	ENSMUSG00000067567	http://amigo.geneontology.org/amigo/term/GO:0019213
negative regulation of vascular permeability	Gene Ontology	GO:0043116	1	16	0.176220604715	0.371279937773	ENSMUSG00000041378	http://amigo.geneontology.org/amigo/term/GO:0043116
ribosomal small subunit assembly	Gene Ontology	GO:0000028	1	16	0.176220604715	0.371279937773	ENSMUSG00000020832	http://amigo.geneontology.org/amigo/term/GO:0000028
regulation of protein kinase A signaling	Gene Ontology	GO:0010738	1	16	0.176220604715	0.371279937773	ENSMUSG00000036273	http://amigo.geneontology.org/amigo/term/GO:0010738
